Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,Resign,Rarely,1141,Research & Development,11,Diploma (D3/D4),Medical,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,No,15,1,0,15,2,1,1,0,0,0
40,Tidak Resign,Rarely,1124,Sales,1,Diploma (D3/D4),Medical,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,3,3,6,2,2,4,3,0,2
36,Tidak Resign,Frequently,635,Research & Development,18,SMP/SMA,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,No,13,1,0,8,2,3,8,1,1,7
25,Tidak Resign,Rarely,583,Sales,4,SMP/SMA,Marketing,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,No,12,1,0,5,1,4,5,2,0,3
20,Resign,Rarely,129,Research & Development,4,Sarjana (S1),Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,No,19,2,0,1,2,3,1,0,0,0
42,Tidak Resign,Rarely,810,Research & Development,23,Doktor (S3),Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,2,0,16,2,3,1,0,0,0
38,Tidak Resign,Never,573,Research & Development,6,Sarjana (S1),Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,4,3,17,3,3,13,11,1,9
24,Tidak Resign,Rarely,691,Research & Development,23,Sarjana (S1),Medical,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,2,2,6,3,3,6,5,1,4
41,Tidak Resign,Never,267,Sales,10,Diploma (D3/D4),Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,4,0,16,3,3,14,3,1,10
24,Resign,Rarely,813,Research & Development,1,Sarjana (S1),Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,1,1,6,2,2,2,0,2,0
